Place Name,County(ies)[B],Population,Area,Form of municipal charter[2],Incorporation,Region
Tusculum,Greene County,"2,663",4.81 sq mi (12.5 km2),Uniform manager-commission,1959,East
Unicoi,Unicoi County,"3,632",16.41 sq mi (42.5 km2),Mayor-alderman,1994,East
Union City,Obion County,"10,895",11.94 sq mi (30.9 km2),Modified manager-council,1867,West
Vanleer,Dickson County,395,0.65 sq mi (1.7 km2),Private act,1913,Middle
Viola,Warren County,131,0.17 sq mi (0.44 km2),Private act,1901,Middle
Vonore,Monroe County,"1,474",11.93 sq mi (30.9 km2),Mayor-alderman,1965,East
Walden,Hamilton County,"1,898",3.58 sq mi (9.3 km2),Mayor-alderman,1975,East
Wartburg,Morgan County,918,0.96 sq mi (2.5 km2),Mayor-alderman,1905,East
Wartrace,Bedford County,651,0.69 sq mi (1.8 km2),Private act,1858,Middle
Watauga,Carter County,458,0.83 sq mi (2.1 km2),Uniform manager-commission,1960,East
Watertown,Wilson County,"1,477",1.31 sq mi (3.4 km2),Private act,1905,Middle
Waverly,Humphreys County,"4,105",8.77 sq mi (22.7 km2),Private act,1838,Middle
Waynesboro,Wayne County,"2,449",3.75 sq mi (9.7 km2),Uniform manager-commission,1850,Middle
Westmoreland,Sumner County,"2,206",3.94 sq mi (10.2 km2),Private act,1901,Middle
White Bluff,Dickson County,"3,206",5.93 sq mi (15.4 km2),Private act,1869,Middle
White House,Sumner County,"10,255",10.99 sq mi (28.5 km2),Mayor-alderman,1921,Middle
White Pine,Jefferson County,"2,196",2.64 sq mi (6.8 km2),Private act,1915,East
Whiteville,Hardeman County,"4,638",2.75 sq mi (7.1 km2),Private act,1901,West
Whitwell,Marion County,"1,699",3.39 sq mi (8.8 km2),Home rule,1956,East
Williston,Fayette County,395,1.62 sq mi (4.2 km2),Uniform manager-commission,1970,West
Winchester,Franklin County,"8,530",11.71 sq mi (30.3 km2),Private act,1821,Middle
Winfield,Scott County,967,6.35 sq mi (16.4 km2),Mayor-alderman,1983,East
Woodbury,Cannon County,"2,680",2.01 sq mi (5.2 km2),Private act,1838,Middle
Woodland Mills,Obion County,378,1.23 sq mi (3.2 km2),Mayor-alderman,1968,West
Yorkville,Gibson County,286,1.42 sq mi (3.7 km2),Uniform manager-commission,1848,West
